frame,time_us
0,9546
1,103833
2,75585
3,47300
4,58926
5,55970
6,56259
7,58447
8,54948
9,58689
10,53738
11,60028
12,54338
13,53721
14,54163
15,54248
16,54283
17,52673
18,54402
19,54262
20,52231
21,54335
22,54064
23,53589
24,53863
25,52837
26,54349
27,54191
28,53221
29,53893
30,53630
31,54560
32,53562
33,54236
34,54437
35,53853
36,53221
37,54013
38,54716
39,53470
40,56389
41,51111
42,55615
43,52812
44,59629
45,48898
46,54594
47,53049
48,54527
49,54695
50,54455
51,53896
52,54767
53,56107
54,52316
55,53718
56,54497
57,54409
58,54156
59,54193
60,53683
61,54656
62,53974
63,54308
64,57484
65,51465
66,54826
67,53148
68,54522
69,54749
70,54089
71,57048
72,51716
73,54869
74,54129
75,54354
76,53989
77,53609
78,54435
79,55450
80,53591
81,54324
82,54793
83,54528
84,54058
85,53831
86,55275
87,54247
88,54704
89,55411
90,54612
91,54836
92,54577
93,54324
94,54810
95,54400
96,53613
97,58619
98,50772
99,54706
100,54513
101,54570
102,53839
103,54556
104,55266
105,54568
106,54171
107,53816
108,55612
109,53982
110,53404
111,55700
112,54400
113,57664
114,53102
115,54189
116,54591
117,54585
118,53721
119,56981
120,53184
121,53948
122,54574
123,56222
124,54735
125,53126
126,54611
127,56359
128,52805
129,54695
130,55050
131,55312
132,54262
133,54505
134,54897
135,55028
136,54610
137,54395
138,55152
139,54142
140,54011
141,55149
142,54659
143,55167
144,55244
145,54370
146,54812
147,53997
148,54656
149,55950
150,52854
151,54928
152,56544
153,53700
154,54801
155,53978
156,55039
157,53849
158,55712
159,54297
160,58160
161,50975
162,53795
163,54661
164,55853
165,54053
166,54877
167,54701
168,55904
169,54292
170,54865
171,54597
172,54765
173,55119
174,53886
175,55609
176,51329
177,47217
178,47355
179,45203
180,44537
181,44965
182,44121
183,46897
184,43227
