frame,time_us
0,7383
1,103849
2,62999
3,71296
4,50364
5,56806
6,55767
7,62280
8,53192
9,58969
10,54690
11,54916
12,55137
13,54948
14,53228
15,55209
16,53721
17,54222
18,55072
19,53040
20,55191
21,52866
22,65150
23,51464
24,50527
25,60710
26,51084
27,54573
28,54121
29,54688
30,54264
31,55574
32,52860
33,54927
34,54143
35,53628
36,61922
37,52855
38,55504
39,54706
40,55028
41,55071
42,53831
43,55513
44,54476
45,54553
46,54712
47,56025
48,53707
49,54498
50,54695
51,56477
52,53769
53,55085
54,55474
55,55053
56,54653
57,53823
58,57520
59,52661
60,53989
61,54401
62,55772
63,54714
64,53981
65,54982
66,53967
67,55360
68,54537
69,56075
70,52561
71,55174
72,54465
73,54156
74,54662
75,54691
76,55317
77,53816
78,55311
79,54884
80,55348
81,53775
82,54711
83,54050
84,55678
85,54057
86,54834
87,54811
88,55240
89,55367
90,54495
91,54798
92,54915
93,55018
94,54802
95,54649
96,54116
97,54795
98,55101
99,54734
100,54452
101,55546
102,54715
103,55082
104,54776
105,55552
106,53413
107,55055
108,54360
109,57337
110,52576
111,55388
112,54908
113,56127
114,55227
115,55672
116,54171
117,55019
118,54841
119,55485
120,56278
121,54002
122,54438
123,55332
124,56608
125,53491
126,54481
127,55645
128,54272
129,54913
130,54848
131,57190
132,53054
133,54479
134,55491
135,54742
136,54432
137,54822
138,55302
139,54987
140,54518
141,54920
142,55308
143,54845
144,54619
145,55287
146,55112
147,55660
148,54234
149,56795
150,52780
151,56674
152,52426
153,55784
154,54823
155,54668
156,55353
157,54377
158,55757
159,54328
160,55856
161,54868
162,54952
163,54781
164,55494
165,54610
166,54725
167,54926
168,55758
169,54952
170,55282
171,56515
172,54187
173,54944
174,54112
175,47807
176,46896
177,47233
178,46565
179,44507
180,45056
181,45572
182,45033
