frame,time_us
0,6489
1,104184
2,54011
3,57536
4,38263
5,51561
6,46790
7,48664
8,51204
9,45701
10,51639
11,45755
12,52389
13,48301
14,48189
15,48389
16,45982
17,49870
18,44330
19,49365
20,47678
21,48173
22,45443
23,52001
24,45720
25,46293
26,47116
27,47689
28,44400
29,51182
30,44399
31,48997
32,46251
33,48342
34,45106
35,49769
36,49395
37,47623
38,46698
39,46375
40,49858
41,47175
42,45252
43,45106
44,46339
45,46006
46,49792
47,46202
48,46358
49,47183
50,47347
51,59374
52,39028
53,49686
54,44607
55,48777
56,44002
57,46613
58,44846
59,48400
60,49593
61,45086
62,47602
63,45126
64,46869
65,44544
66,53328
67,46752
68,43246
69,47590
70,48339
71,44033
72,44977
73,46259
74,46314
75,46603
76,49971
77,48008
78,49481
79,45467
80,47485
81,46173
82,45477
83,42879
84,44596
85,46900
86,47879
87,51170
88,47351
89,45582
90,45852
91,45981
92,45925
93,47370
94,48309
95,44412
96,45992
97,45534
98,52169
99,48772
100,43416
101,43540
102,47947
103,45790
104,47788
105,47153
106,44445
107,43465
108,43092
109,48798
110,48666
111,46238
112,47823
113,44256
114,48621
115,46758
116,45388
117,49760
118,45620
119,45384
120,45226
121,52994
122,49529
123,44586
124,50017
125,44841
126,46812
127,47980
128,45567
129,46070
130,47639
131,48162
132,45117
133,44578
134,44510
135,45439
136,43364
137,47018
138,48151
139,46550
140,46109
141,48632
142,44141
143,45915
144,47984
145,46256
146,48170
147,44428
148,46609
149,46531
150,46022
151,46470
152,47838
153,44373
154,43986
155,47308
156,51872
157,43715
158,45888
159,45469
160,44846
161,48476
162,41820
163,46005
164,46807
165,44945
166,48981
167,43815
168,45306
169,49453
170,46143
171,43696
172,47168
173,47220
174,46535
175,45731
176,49709
177,44578
178,47444
179,44364
180,49250
181,44693
182,48268
183,44035
184,52054
185,48142
186,47377
187,44480
188,45022
189,43851
190,48460
191,45259
192,44695
193,47264
194,48026
195,45339
196,47242
197,44202
198,44054
199,46497
200,46674
201,47925
202,45269
203,46935
204,47003
205,45704
206,46397
207,49047
208,47159
209,49060
210,44714
211,47576
212,45613
