frame,time_us
0,10235
1,104861
2,65187
3,81144
4,39983
5,59620
6,56237
7,55995
8,57626
9,56107
10,61151
11,55433
12,60488
13,55515
14,55666
15,55896
16,55091
17,55371
18,55388
19,56285
20,55445
21,55481
22,55082
23,55751
24,55024
25,55389
26,56206
27,54955
28,76500
29,34830
30,55446
31,55283
32,56020
33,55380
34,55363
35,55869
36,55534
37,55357
38,55150
39,55813
40,55127
41,55698
42,55158
43,55857
44,55097
45,55434
46,55423
47,55564
48,55436
49,56473
50,55617
51,55535
52,55894
53,55565
54,54783
55,55226
56,56244
57,55228
58,55273
59,55094
60,55469
61,55202
62,55372
63,55615
64,55429
65,55157
66,55177
67,55407
68,55681
69,55096
70,55633
71,55248
72,55586
73,55755
74,56026
75,55651
76,54932
77,55743
78,55134
79,55742
80,56431
81,54822
82,55237
83,55342
84,55643
85,55280
86,55445
87,55362
88,55291
89,56099
90,55341
91,55579
92,55192
93,55938
94,55707
95,55099
96,55474
97,55266
98,55493
99,55147
100,55251
101,56762
102,55134
103,55587
104,55532
105,55826
106,55938
107,55424
108,55416
109,56157
110,55056
111,56312
112,55319
113,55470
114,56094
115,55359
116,55298
117,55940
118,54973
119,55061
120,55470
121,55667
122,55208
123,55283
124,55242
125,56174
126,55511
127,55688
128,55357
129,55812
130,55718
131,55224
132,55756
133,56339
134,56306
135,55942
136,55363
137,55950
138,55637
139,55415
140,55524
141,56645
142,55015
143,55287
144,55327
145,55777
146,55479
147,55489
148,55400
149,55725
150,55397
151,55421
152,55687
153,55623
154,55681
155,56243
156,55951
157,56505
158,55724
159,55353
160,55464
161,56381
162,55941
163,55547
164,55696
165,55665
166,56231
167,56250
168,54947
169,56863
170,47986
171,44366
172,43580
173,47777
174,43501
175,44227
176,43565
177,44356
178,44691
179,44323
180,44431
181,44418
