frame,time_us
0,16457
1,105331
2,66940
3,73696
4,47841
5,59599
6,57739
7,63360
8,59457
9,58825
10,63645
11,57971
12,58125
13,57743
14,57327
15,57092
16,57152
17,57392
18,56158
19,56812
20,57183
21,56442
22,57061
23,56697
24,56801
25,57124
26,57075
27,56885
28,56682
29,57224
30,56088
31,56877
32,56545
33,56849
34,56912
35,57162
36,56533
37,57312
38,57533
39,57132
40,57181
41,56992
42,57111
43,62652
44,51585
45,57070
46,55585
47,56772
48,56900
49,56793
50,56752
51,56919
52,56982
53,56747
54,80323
55,46581
56,62613
57,38561
58,65133
59,49089
60,57002
61,56215
62,56705
63,57029
64,56931
65,55925
66,56987
67,56101
68,56950
69,56120
70,57422
71,57191
72,56862
73,56789
74,56798
75,56867
76,56525
77,56646
78,56604
79,57033
80,56971
81,58355
82,55131
83,56910
84,57175
85,57531
86,56671
87,57148
88,57439
89,57035
90,57365
91,57029
92,56908
93,57273
94,57027
95,57189
96,57339
97,56666
98,57092
99,56658
100,57186
101,56145
102,57309
103,56103
104,57356
105,56137
106,56857
107,57111
108,57260
109,56666
110,57026
111,58875
112,55565
113,57127
114,57357
115,56991
116,57908
117,56906
118,57163
119,56264
120,57096
121,56944
122,56908
123,56980
124,57134
125,56966
126,56752
127,56770
128,57310
129,56482
130,57081
131,56215
132,56845
133,56818
134,56952
135,56151
136,56794
137,56750
138,57037
139,57379
140,56201
141,56596
142,56529
143,56881
144,57259
145,56970
146,57093
147,56853
148,57387
149,56992
150,57202
151,56480
152,56264
153,57211
154,58921
155,54213
156,57275
157,56862
158,56948
159,57113
160,57183
161,56957
162,57036
163,56840
164,56938
165,57179
166,57099
167,54701
168,47595
169,53295
170,55816
171,49349
172,47338
173,44341
174,46486
175,47992
