frame,time_us
0,9298
1,102471
2,64644
3,69175
4,49706
5,57280
6,57741
7,56652
8,55806
9,56455
10,55227
11,59771
12,55429
13,59726
14,56186
15,55261
16,55492
17,55033
18,55809
19,55120
20,55164
21,54957
22,55158
23,55314
24,54977
25,55151
26,54976
27,54900
28,55060
29,55087
30,55165
31,55088
32,55041
33,54949
34,59621
35,55055
36,55503
37,55215
38,55136
39,73224
40,64036
41,38242
42,53602
43,57808
44,52725
45,48783
46,55336
47,55525
48,55470
49,55201
50,56527
51,55123
52,55293
53,55045
54,55137
55,55043
56,71219
57,39516
58,56109
59,55216
60,55345
61,55190
62,55098
63,55175
64,54828
65,55319
66,54929
67,55459
68,55002
69,55006
70,55168
71,61830
72,51547
73,60507
74,55906
75,55433
76,55501
77,55925
78,55433
79,56069
80,60467
81,50405
82,55685
83,56283
84,54280
85,55473
86,55550
87,55723
88,55437
89,56420
90,54596
91,55071
92,55681
93,55293
94,55182
95,55462
96,55234
97,54990
98,55023
99,55043
100,55010
101,55050
102,54890
103,55406
104,54940
105,54926
106,55028
107,55574
108,54929
109,54982
110,55225
111,55219
112,55051
113,55056
114,55291
115,55134
116,54959
117,55032
118,55842
119,55088
120,55076
121,55014
122,55182
123,55039
124,55029
125,55941
126,55140
127,55226
128,55213
129,55524
130,61788
131,56985
132,56078
133,55872
134,55615
135,55966
136,55889
137,57197
138,56013
139,56107
140,56267
141,56577
142,55821
143,70389
144,56476
145,63453
146,56377
147,60446
148,55686
149,55352
150,55967
151,55229
152,55078
153,55052
154,56152
155,54456
156,54930
157,59872
158,55025
159,55402
160,55098
161,55746
162,55099
163,54865
164,55407
165,55113
166,55094
167,54963
168,55315
169,54842
170,54725
171,54849
172,50175
173,43552
174,43430
175,43301
176,43749
177,43407
178,43056
179,45367
180,43189
