frame,time_us
0,19492
1,100876
2,60287
3,69285
4,42864
5,52427
6,57206
7,52688
8,56677
9,52230
10,55098
11,50933
12,53208
13,51295
14,50657
15,51392
16,51166
17,51944
18,51314
19,53125
20,53185
21,50892
22,50278
23,50377
24,50061
25,49890
26,49619
27,49424
28,49423
29,50424
30,50592
31,52400
32,49693
33,51895
34,49695
35,54227
36,50567
37,50399
38,49588
39,50709
40,50392
41,50647
42,57265
43,66085
44,48236
45,40840
46,50747
47,54040
48,47649
49,51907
50,50400
51,49923
52,51534
53,52158
54,50011
55,49887
56,50161
57,52375
58,50057
59,50421
60,49739
61,52955
62,54059
63,54206
64,54010
65,54383
66,54724
67,51283
68,54976
69,54472
70,55509
71,50747
72,50957
73,51418
74,49469
75,50272
76,60599
77,47514
78,53294
79,50323
80,50348
81,61302
82,39331
83,53161
84,57484
85,49574
86,51645
87,50207
88,52052
89,51960
90,50286
91,51436
92,50041
93,50484
94,52315
95,48271
96,49936
97,49858
98,52761
99,50639
100,52142
101,53027
102,48208
103,53860
104,48484
105,50470
106,49805
107,51967
108,49797
109,53827
110,54891
111,64862
112,50592
113,59342
114,51709
115,53616
116,49793
117,49673
118,50808
119,48844
120,49719
121,49480
122,49766
123,50195
124,49477
125,51633
126,50688
127,50283
128,50500
129,49680
130,56849
131,50691
132,50566
133,49955
134,49809
135,50556
136,49461
137,49460
138,49523
139,51055
140,49897
141,49596
142,50682
143,50664
144,49488
145,49776
146,49829
147,50634
148,49691
149,49411
150,49858
151,50131
152,49928
153,49312
154,49363
155,50809
156,50029
157,49273
158,50737
159,49110
160,49428
161,49430
162,51718
163,48440
164,49330
165,49662
166,49650
167,50325
168,49706
169,49664
170,49611
171,50967
172,49588
173,49523
174,49580
175,51017
176,49470
177,49815
178,51613
179,48895
180,49850
181,49471
182,49677
183,50950
184,49450
185,49482
186,49639
187,50794
188,48238
189,45512
190,44773
191,43792
192,43020
193,43266
194,43264
195,43622
