frame,time_us
0,44485
1,5240
2,5157
3,5112
4,5462
5,4884
6,3338
7,5064
8,3542
9,3933
10,3371
11,3260
12,3590
13,3588
14,4911
15,3756
16,3603
17,3341
18,3769
19,3281
20,3135
21,3257
22,3196
23,3865
24,4371
25,5075
26,3106
27,5071
28,3102
29,3062
30,3313
31,2791
32,5519
33,2904
34,3356
35,2839
36,2911
37,3753
38,2945
39,2953
40,3304
41,3746
42,3285
43,3593
44,4364
45,3221
46,2995
47,3204
48,2933
49,4064
50,3182
51,2780
52,3199
53,2957
54,2811
55,3124
56,2880
57,4361
58,2899
59,3039
60,3306
61,2959
62,9437
63,2970
64,2807
65,2971
66,3197
67,2802
68,2760
69,3294
70,2785
71,2818
72,2781
73,2906
74,2901
75,3050
76,3668
77,3088
78,2768
79,2816
80,2982
81,2869
82,2795
83,2993
84,2998
85,2731
86,3471
87,2696
88,2769
89,2783
90,2910
91,2687
92,2809
93,2771
94,2711
95,2921
96,2701
97,5272
98,2697
99,2740
100,3089
101,2619
102,2711
103,2743
104,2566
105,2522
106,2721
107,2738
108,2819
109,3863
110,2635
111,3960
112,2544
113,2722
114,2631
115,2523
116,2676
117,4423
118,2536
119,2814
120,3147
121,2585
122,2819
123,2951
124,2598
125,2707
126,3413
127,2604
128,2694
129,3094
130,2558
131,2734
132,3288
133,2559
134,2581
135,2723
136,2794
137,2548
138,2683
139,2605
140,2562
141,3377
142,2610
143,2805
144,3166
145,2655
146,2721
147,2936
148,2706
149,2799
150,2845
151,2735
152,3058
153,2987
154,2546
155,4991
156,2634
157,2722
158,2815
159,2739
160,2713
161,2828
162,2718
163,2663
164,2765
165,2777
166,2703
167,2951
168,2677
169,2665
170,2919
171,2628
172,2667
173,3564
174,2579
175,2716
176,2963
177,2572
178,2666
179,2824
180,2705
181,2702
182,3406
183,2530
184,2640
185,2720
186,2542
187,2688
188,2862
189,2654
190,2586
191,3110
192,2500
193,2468
194,3441
195,2519
196,2730
197,3028
198,2583
199,2613
200,3156
201,2611
202,2667
203,3026
204,2679
205,2687
206,2879
207,2738
208,2751
209,3008
210,2674
211,2688
212,2999
213,2638
214,2640
215,3178
216,2770
217,2738
218,2902
219,2771
220,2654
221,2891
222,2747
223,2696
224,2629
225,2749
226,2698
227,2893
228,2704
229,2749
230,2997
231,2743
232,2816
233,2789
234,2753
235,2812
236,2698
237,2708
238,2741
239,2914
240,2722
241,2717
242,2982
243,2727
244,2755
245,3047
246,2772
247,2833
248,2898
249,2698
250,5078
251,2676
252,2774
253,2969
254,2695
255,2819
256,2941
257,2858
258,2897
259,2940
260,2784
261,2678
262,2941
263,2821
264,4904
265,2663
266,2786
267,2863
268,2838
269,2801
270,2771
271,2845
272,2774
273,2851
274,3007
275,2742
276,3017
277,2859
278,4827
279,2793
280,2744
281,2916
282,2933
283,2890
284,2900
285,2975
286,4848
287,2836
288,2803
289,2720
290,2907
291,2943
292,3156
293,2816
294,4858
295,2868
296,2910
297,2909
298,2976
299,5141
300,2712
301,2938
302,3022
303,2877
304,5207
305,2804
306,2948
307,3262
308,3049
309,4258
310,2830
311,2904
312,2727
313,3018
314,7461
315,2841
316,3440
317,2850
318,2917
319,2999
320,3075
321,5075
322,2728
323,5467
324,2780
325,2871
326,3612
327,2847
328,4509
329,2854
330,5199
331,3220
332,2831
