frame,time_us
0,64053
1,23341
2,24075
3,17811
4,19180
5,18445
6,15709
7,17844
8,15424
9,17213
10,22412
11,21868
12,14661
13,14547
14,14116
15,14821
16,14292
17,14538
18,14190
19,14412
20,14425
21,16427
22,16582
23,14790
24,14287
25,14551
26,15034
27,23559
28,17041
29,16462
30,15969
31,15274
32,16352
33,20121
34,17806
35,17250
36,17881
37,16828
38,16400
39,16686
40,16661
41,16444
42,16719
43,17822
44,15385
45,16154
46,17310
47,14785
48,18623
49,15235
50,18154
51,15317
52,17830
53,16627
54,16642
55,15869
56,17582
57,17410
58,15280
59,16098
60,15878
61,16317
62,16171
63,19050
64,16043
65,17642
66,16400
67,16015
68,16055
69,16325
70,16366
71,17506
72,17798
73,16477
74,16275
75,16793
76,16424
77,17046
78,17635
79,16314
80,16297
81,16027
82,16803
83,16975
84,16400
85,16434
86,16703
87,16323
88,16043
89,17523
90,16206
91,17208
92,15385
93,15245
94,14939
95,14671
96,14593
97,14967
98,15578
99,14381
100,15309
101,15346
102,15756
103,15154
104,15005
105,15099
106,15208
107,14877
108,14795
109,15123
110,14865
111,15341
112,15032
113,15544
114,15585
115,15525
116,16107
117,16025
118,16144
119,16157
120,16435
121,16015
122,16246
123,15913
124,16621
125,16034
126,16255
127,16483
128,16158
129,16598
130,16094
131,15960
132,16660
133,16685
134,16584
135,16258
136,16586
137,16525
138,16145
139,16688
140,16604
141,16770
142,16425
143,16101
144,15753
145,15670
146,15665
147,15196
148,15238
149,15120
150,15369
151,15244
152,14631
153,14947
154,15022
155,15388
156,15038
157,15204
158,14862
159,15253
160,15800
161,22302
162,19193
163,14856
164,15028
165,15207
166,15144
167,15951
168,18124
169,15561
170,16396
171,16562
172,16653
173,16501
174,16578
175,14974
176,14931
177,15429
178,15352
179,15569
180,15459
181,15999
182,15639
183,15907
184,16017
185,16303
186,16451
187,16267
188,16475
189,16518
190,16843
191,16653
192,16700
193,16580
194,16897
195,16781
196,16626
197,16398
198,16252
199,16303
200,16238
201,16125
202,16168
203,15956
204,15816
205,15892
206,15863
207,15639
208,15744
209,15546
210,15703
211,15733
212,15746
213,16589
214,16170
215,16141
216,15618
217,15877
218,15914
219,16013
220,16058
221,16162
222,16363
223,16127
224,16331
225,16289
226,16303
227,16270
228,16133
229,15962
230,15981
231,16338
232,16114
233,16120
234,16148
235,16307
236,16138
237,16325
238,16404
239,16220
240,16375
241,16184
242,16430
243,16400
244,16477
245,16448
246,16710
247,16595
248,16296
249,16651
250,16361
251,16324
252,16230
253,16326
254,16123
255,16291
256,16215
257,16070
258,16298
259,16250
260,16056
261,16188
262,16301
263,16108
264,15774
265,16129
266,16310
267,16122
268,16506
269,16558
270,15939
271,15935
272,16103
273,18601
274,17457
275,16198
276,15862
277,16089
278,16210
279,18120
280,17330
281,16401
282,16564
283,16742
284,16876
285,17810
286,16634
287,16302
288,16504
289,15980
290,16930
291,16351
292,17100
293,16397
294,15980
295,15655
296,15635
297,19030
298,15457
299,15587
300,15498
301,15440
302,15838
303,15424
304,15725
305,16374
306,16516
307,16285
308,16255
309,15969
310,15792
311,16024
312,16046
313,16740
314,16510
